,CPI,Inflation_YoY,Unemployment_Rate,Employment_Rate,GDP_Ontario,GDP_Growth_YoY,Policy_Rate,Prime_Rate,Mortgage_5Y_Rate,Prime_Policy_Spread,Mortgage_Prime_Spread,USD_CAD,FX_Change_MoM,FX_Change_YoY,HPI,HPI_Change_MoM,HPI_Change_YoY,WTI_Price,WCS_Price,WCS_WTI_Spread,WTI_Change_YoY,Economic_Cycle_Score,Credit_Conditions,Housing_Risk_Score
2022-07-01,153.1,7.589599437807437,4.8,62.2,850461.9,4.06188686540665,1.4772727272727273,3.6,5.7,2.122727272727273,2.1,1.2813636363636365,-0.3007196658131317,4.869610505561561,763100.0,-2.4418307338276657,8.333333333333325,101.62,80.44,-21.180000000000007,40.18485308318391,0.6838934859745895,4.144545454545455,-1.4966666666666626
2022-07-31,153.1,7.589599437807437,4.8,62.2,850461.9,4.06188686540665,2.0714285714285716,4.2,6.0649999999999995,2.1285714285714286,1.8649999999999993,1.29423,1.0041149343738898,3.300317363790106,763100.0,-2.4418307338276657,8.333333333333325,101.62,80.44,-21.180000000000007,40.18485308318391,0.6838934859745895,4.531714285714285,-1.3871666666666629
2022-08-01,152.6,7.012622720897621,5.2,62.0,850461.9,4.06188686540665,2.0714285714285716,4.2,6.0649999999999995,2.1285714285714286,1.8649999999999993,1.29423,1.0041149343738898,3.300317363790106,748500.0,-1.9132485912724428,4.846617173273571,93.67,70.45,-23.22,38.29912889413849,0.5809905516234217,4.531714285714285,0.4361914133632143
2022-08-31,152.6,7.012622720897621,5.2,62.0,850461.9,4.06188686540665,2.5,4.7,6.14,2.2,1.4399999999999995,1.2921681818181818,-0.1593084831767233,2.5270691781817067,748500.0,-1.9132485912724428,4.846617173273571,93.67,70.45,-23.22,38.29912889413849,0.5809905516234217,4.776000000000001,0.4586914133632145
2022-09-01,152.7,6.857942617214818,5.1,62.0,850461.9,4.06188686540665,2.5,4.7,6.14,2.2,1.4399999999999995,1.2921681818181818,-0.1593084831767233,2.5270691781817067,737800.0,-1.4295257181028753,1.3740038472107807,84.26,64.18,-20.08,17.599441730635036,0.6067162852112138,4.776000000000001,2.1749980763946093
2022-09-30,152.7,6.857942617214818,5.1,62.0,850461.9,4.06188686540665,3.0714285714285716,5.2625,6.14,2.1910714285714286,0.8774999999999995,1.331855,3.0713353524907117,5.108414718358478,737800.0,-1.4295257181028753,1.3740038472107807,84.26,64.18,-20.08,17.599441730635036,0.6067162852112138,4.999214285714285,2.1749980763946093
2022-10-01,153.8,6.879777623349548,5.1,62.1,850461.9,4.06188686540665,3.0714285714285716,5.2625,6.14,2.1910714285714286,0.8774999999999995,1.331855,3.0713353524907117,5.108414718358478,729700.0,-1.0978584982380024,-1.9484009674818559,87.55,66.38,-21.17,7.4496809032891464,0.6067162852112138,4.999214285714285,3.8362004837409276
2022-10-31,153.8,6.879777623349548,5.1,62.1,850461.9,4.06188686540665,3.3214285714285716,5.45,6.3149999999999995,2.1285714285714286,0.8649999999999993,1.36995,2.860296353582026,10.152490381406864,729700.0,-1.0978584982380024,-1.9484009674818559,87.55,66.38,-21.17,7.4496809032891464,0.6067162852112138,5.131714285714285,3.888700483740928
2022-11-01,154.0,6.796116504854388,5.0,62.1,850461.9,4.06188686540665,3.3214285714285716,5.45,6.3149999999999995,2.1285714285714286,0.8649999999999993,1.36995,2.860296353582026,10.152490381406864,722400.0,-1.0004111278607675,-5.097214923804517,84.37,57.44,-26.930000000000007,6.595072646873024,0.6324420187990056,5.131714285714285,5.443107461902258
2022-11-30,154.0,6.796116504854388,5.0,62.1,850461.9,4.06188686540665,3.75,5.95,6.49,2.2,0.54,1.344857142857143,-1.831662260875,6.991051877893373,722400.0,-1.0004111278607675,-5.097214923804517,84.37,57.44,-26.930000000000007,6.595072646873024,0.6324420187990056,5.416000000000001,5.495607461902258
2022-12-01,153.1,6.319444444444433,5.0,62.3,850461.9,4.06188686540665,3.75,5.95,6.49,2.2,0.54,1.344857142857143,-1.831662260875,6.991051877893373,714300.0,-1.1212624584717612,-8.06949806949807,76.44,47.14,-29.299999999999997,6.596011713847449,0.6324420187990056,5.416000000000001,6.981749034749035
